00:00:00:000   	outinfectious			5
00:00:00:000   	outsusceptible			1000
00:00:00:000   	outrecovered			0
00:00:00:000   		outrecovered			0.0001
00:00:00:000   		outrecovered			0.0002
00:00:00:000   		outrecovered			0.0003
00:00:00:000   		outrecovered			0.0004
00:00:00:000   	outrecovered			0.0005
00:00:00:001   		outrecovered			0.0006
00:00:00:001   		outrecovered			0.0007
00:00:00:001   		outrecovered			0.0008
00:00:00:001   		outrecovered			0.0009
00:00:00:001   	outrecovered			0.001
00:00:00:002   		outrecovered			0.0011
00:00:00:002   		outrecovered			0.0012
00:00:00:002   		outrecovered			0.0013
00:00:00:002   		outrecovered			0.0014
00:00:00:002   	outrecovered			0.0015
00:00:00:003   		outrecovered			0.0016
00:00:00:003   		outrecovered			0.0017
00:00:00:003   		outrecovered			0.0018
00:00:00:003   		outrecovered			0.0019
00:00:00:003   	outrecovered			0.002
00:00:00:004   		outrecovered			0.0021
00:00:00:004   		outrecovered			0.0022
00:00:00:004   		outrecovered			0.0023
00:00:00:004   		outrecovered			0.0024
00:00:00:004   	outrecovered			0.0025
00:00:00:005   		outrecovered			0.0026
00:00:00:005   		outrecovered			0.0027
00:00:00:005   		outrecovered			0.0028
00:00:00:005   		outrecovered			0.0029
00:00:00:005   	outrecovered			0.003
00:00:00:006   		outrecovered			0.0031
00:00:00:006   		outrecovered			0.0032
00:00:00:006   		outrecovered			0.0033
00:00:00:006   		outrecovered			0.0034
00:00:00:006   	outrecovered			0.0035
00:00:00:007   		outrecovered			0.0036
00:00:00:007   		outrecovered			0.0037
00:00:00:007   		outrecovered			0.0038
00:00:00:007   		outrecovered			0.0039
00:00:00:007   	outrecovered			0.004
00:00:00:008   		outrecovered			0.0041
00:00:00:008			outrecovered			0.0042
00:00:00:008			outrecovered			0.0043
00:00:00:008			outrecovered			0.0044
00:00:00:008			outrecovered			0.0045
00:00:00:009			outrecovered			0.0046
00:00:00:009			outrecovered			0.0047
00:00:00:009			outrecovered			0.0048
00:00:00:009			outrecovered			0.0049
00:00:00:009			outrecovered			0.005
00:00:00:010			outrecovered			0.0051
00:00:00:010			outrecovered			0.0052
00:00:00:010			outrecovered			0.0053
00:00:00:010			outrecovered			0.0054
00:00:00:010			outrecovered			0.0055
00:00:00:011			outrecovered			0.0056
00:00:00:011			outrecovered			0.0057
00:00:00:011			outrecovered			0.0058
00:00:00:011			outrecovered			0.0059
00:00:00:011			outrecovered			0.006
00:00:00:012			outrecovered			0.0061
00:00:00:012			outrecovered			0.0062
00:00:00:012			outrecovered			0.0063
00:00:00:012			outrecovered			0.0064
00:00:00:012			outrecovered			0.0065
00:00:00:013			outrecovered			0.0066
00:00:00:013			outrecovered			0.0067
00:00:00:013			outrecovered			0.0068
00:00:00:013			outrecovered			0.0069
00:00:00:013			outrecovered			0.007
00:00:00:014			outrecovered			0.0071
00:00:00:014			outrecovered			0.0072
00:00:00:014			outrecovered			0.0073
00:00:00:014			outrecovered			0.0074
00:00:00:014			outrecovered			0.0075
00:00:00:015			outrecovered			0.0076
00:00:00:015			outrecovered			0.0077
00:00:00:015			outrecovered			0.0078
00:00:00:015			outrecovered			0.0079
00:00:00:015			outrecovered			0.008
00:00:00:016			outrecovered			0.0081
00:00:00:016			outrecovered			0.0082
00:00:00:016			outrecovered			0.0083
00:00:00:016			outrecovered			0.0084
00:00:00:016			outrecovered			0.0085
00:00:00:017			outrecovered			0.0086
