00:00:00:000   	outinfectious			5
00:00:00:000   	outsusceptible			1000
00:00:00:000   	outrecovered			0
00:00:00:000   		outrecovered			0.0001
00:00:00:000   		outrecovered			0.0002
00:00:00:000   		outrecovered			0.0003
00:00:00:000   		outrecovered			0.0004
00:00:00:000   		outrecovered			0.0005
00:00:00:000   		outrecovered			0.0006
00:00:00:000   		outrecovered			0.0007
00:00:00:000   		outrecovered			0.0008
00:00:00:000   		outrecovered			0.0009
00:00:00:000   		outrecovered			0.001
00:00:00:000   		outrecovered			0.0011
00:00:00:000   		outrecovered			0.0012
00:00:00:000   		outrecovered			0.0013
00:00:00:000   		outrecovered			0.0014
00:00:00:000   		outrecovered			0.0015
00:00:00:000   		outrecovered			0.0016
00:00:00:000   		outrecovered			0.0017
00:00:00:000   		outrecovered			0.0018
00:00:00:000   		outrecovered			0.0019
00:00:00:000   		outrecovered			0.002
00:00:00:000   		outrecovered			0.0021
00:00:00:000   		outrecovered			0.0022
00:00:00:000   		outrecovered			0.0023
00:00:00:000   		outrecovered			0.0024
00:00:00:000   		outrecovered			0.0025
00:00:00:000   		outrecovered			0.0026
00:00:00:000   		outrecovered			0.0027
00:00:00:000   		outrecovered			0.0028
00:00:00:000   		outrecovered			0.0029
00:00:00:000   		outrecovered			0.003
00:00:00:000   		outrecovered			0.0031
00:00:00:000   		outrecovered			0.0032
00:00:00:000   		outrecovered			0.0033
00:00:00:000   		outrecovered			0.0034
00:00:00:000   		outrecovered			0.0035
00:00:00:000   		outrecovered			0.0036
00:00:00:000   		outrecovered			0.0037
00:00:00:000   		outrecovered			0.0038
00:00:00:000   		outrecovered			0.0039
00:00:00:000   		outrecovered			0.004
00:00:00:000   		outrecovered			0.0041
00:00:00:000   		outrecovered			0.0042
00:00:00:000   		outrecovered			0.0043
00:00:00:000   		outrecovered			0.0044
00:00:00:000   		outrecovered			0.0045
00:00:00:000   		outrecovered			0.0046
00:00:00:000   		outrecovered			0.0047
00:00:00:000   		outrecovered			0.0048
00:00:00:000   		outrecovered			0.0049
00:00:00:000   		outrecovered			0.005
00:00:00:000   		outrecovered			0.0051
00:00:00:000   		outrecovered			0.0052
00:00:00:000   		outrecovered			0.0053
00:00:00:000   		outrecovered			0.0054
00:00:00:000   		outrecovered			0.0055
00:00:00:000   		outrecovered			0.0056
00:00:00:000   		outrecovered			0.0057
00:00:00:000   		outrecovered			0.0058
00:00:00:000   		outrecovered			0.0059
00:00:00:000   		outrecovered			0.006
00:00:00:000   		outrecovered			0.0061
00:00:00:000   		outrecovered			0.0062
00:00:00:000   		outrecovered			0.0063
00:00:00:000   		outrecovered			0.0064
00:00:00:000   		outrecovered			0.0065
00:00:00:000   		outrecovered			0.0066
00:00:00:000   		outrecovered			0.0067
00:00:00:000   		outrecovered			0.0068
00:00:00:000   		outrecovered			0.0069
00:00:00:000   		outrecovered			0.007
00:00:00:000   		outrecovered			0.0071
00:00:00:000   		outrecovered			0.0072
00:00:00:000   		outrecovered			0.0073
00:00:00:000   		outrecovered			0.0074
00:00:00:000   		outrecovered			0.0075
00:00:00:000   		outrecovered			0.0076
00:00:00:000   		outrecovered			0.0077
00:00:00:000   		outrecovered			0.0078
00:00:00:000   		outrecovered			0.0079
00:00:00:000   		outrecovered			0.008
00:00:00:000   		outrecovered			0.0081
00:00:00:000   		outrecovered			0.0082
00:00:00:000   		outrecovered			0.0083
00:00:00:000   		outrecovered			0.0084
00:00:00:000   		outrecovered			0.0085
00:00:00:000   		outrecovered			0.0086
00:00:00:000   		outrecovered			0.0087
00:00:00:000   		outrecovered			0.0088
00:00:00:000   		outrecovered			0.0089
00:00:00:000   		outrecovered			0.009
00:00:00:000   		outrecovered			0.0091
00:00:00:000   		outrecovered			0.0092
00:00:00:000   		outrecovered			0.0093
00:00:00:000   		outrecovered			0.0094
00:00:00:000   		outrecovered			0.0095
00:00:00:000   		outrecovered			0.0096
00:00:00:000   		outrecovered			0.0097
00:00:00:000   		outrecovered			0.0098
00:00:00:000   		outrecovered			0.0099
00:00:00:000   	outrecovered			0.01
00:00:00:00198			outrecovered			0.0101
00:00:00:001   		outrecovered			0.010201
00:00:00:001			outrecovered			0.010303
00:00:00:001			outrecovered			0.010406
00:00:00:001   		outrecovered			0.0105101
00:00:00:0011			outrecovered			0.0106152
00:00:00:0013			outrecovered			0.0107214
00:00:00:0017			outrecovered			0.0108286
00:00:00:0012			outrecovered			0.0109369
00:00:00:001			outrecovered			0.0110462
00:00:00:001			outrecovered			0.0111567
00:00:00:001			outrecovered			0.0112683
00:00:00:001			outrecovered			0.0113809
00:00:00:001			outrecovered			0.0114947
00:00:00:001			outrecovered			0.0116097
00:00:00:001			outrecovered			0.0117258
00:00:00:001			outrecovered			0.011843
00:00:00:001			outrecovered			0.0119615
00:00:00:001			outrecovered			0.0120811
00:00:00:001   		outrecovered			0.0122019
00:00:00:001			outrecovered			0.0123239
00:00:00:001			outrecovered			0.0124472
00:00:00:001			outrecovered			0.0125716
00:00:00:001			outrecovered			0.0126973
00:00:00:001			outrecovered			0.0128243
00:00:00:001			outrecovered			0.0129526
00:00:00:001			outrecovered			0.0130821
00:00:00:001			outrecovered			0.0132129
00:00:00:001			outrecovered			0.013345
00:00:00:001			outrecovered			0.0134785
00:00:00:001			outrecovered			0.0136133
00:00:00:001			outrecovered			0.0137494
00:00:00:001   		outrecovered			0.0138869
00:00:00:001			outrecovered			0.0140258
00:00:00:001			outrecovered			0.014166
00:00:00:001			outrecovered			0.0143077
00:00:00:001			outrecovered			0.0144508
00:00:00:001			outrecovered			0.0145953
00:00:00:001			outrecovered			0.0147412
00:00:00:001			outrecovered			0.0148886
00:00:00:001			outrecovered			0.0150375
00:00:00:001   		outrecovered			0.0151879
00:00:00:001			outrecovered			0.0153398
00:00:00:001			outrecovered			0.0154932
00:00:00:001			outrecovered			0.0156481
00:00:00:001			outrecovered			0.0158046
00:00:00:001			outrecovered			0.0159626
00:00:00:001			outrecovered			0.0161223
00:00:00:001			outrecovered			0.0162835
00:00:00:001			outrecovered			0.0164463
00:00:00:001			outrecovered			0.0166108
00:00:00:001			outrecovered			0.0167769
00:00:00:001			outrecovered			0.0169447
00:00:00:001   		outrecovered			0.0171141
00:00:00:001			outrecovered			0.0172852
00:00:00:001   		outrecovered			0.0174581
00:00:00:001			outrecovered			0.0176327
00:00:00:001			outrecovered			0.017809
00:00:00:001   		outrecovered			0.0179871
00:00:00:001			outrecovered			0.018167
00:00:00:001			outrecovered			0.0183486
00:00:00:001			outrecovered			0.0185321
00:00:00:001			outrecovered			0.0187174
00:00:00:001			outrecovered			0.0189046
00:00:00:001			outrecovered			0.0190937
00:00:00:001   		outrecovered			0.0192846
00:00:00:001			outrecovered			0.0194774
