00:00:00:000  	outteacuptemperature			180
00:00:00:163   		outteacuptemperature			178.2
00:00:00:328  		outteacuptemperature			176.418
00:00:00:494   		outteacuptemperature			174.654
00:00:00:660   		outteacuptemperature			172.907
00:00:00:829			outteacuptemperature			171.178
00:00:00:998   		outteacuptemperature			169.466
00:00:01:168   		outteacuptemperature			167.772
00:00:01:340   		outteacuptemperature			166.094
00:00:01:513			outteacuptemperature			164.433
00:00:01:687   		outteacuptemperature			162.789
00:00:01:862  		outteacuptemperature			161.161
00:00:02:039   		outteacuptemperature			159.549
00:00:02:217   		outteacuptemperature			157.954
00:00:02:397   		outteacuptemperature			156.374
00:00:02:578   		outteacuptemperature			154.811
00:00:02:760   		outteacuptemperature			153.262
00:00:02:944   		outteacuptemperature			151.73
00:00:03:130   		outteacuptemperature			150.212
00:00:03:317   		outteacuptemperature			148.71
00:00:03:506   		outteacuptemperature			147.223
00:00:03:697   		outteacuptemperature			145.751
00:00:03:889   		outteacuptemperature			144.294
00:00:04:083   		outteacuptemperature			142.851
00:00:04:279   		outteacuptemperature			141.422
00:00:04:478			outteacuptemperature			140.008
00:00:04:677   		outteacuptemperature			138.608
00:00:04:880			outteacuptemperature			137.222
00:00:05:084   		outteacuptemperature			135.849
00:00:05:290   		outteacuptemperature			134.491
00:00:05:498   		outteacuptemperature			133.146
00:00:05:709   		outteacuptemperature			131.815
00:00:05:923			outteacuptemperature			130.496
00:00:06:138  		outteacuptemperature			129.191
00:00:06:357   		outteacuptemperature			127.9
00:00:06:577   		outteacuptemperature			126.621
00:00:06:801   		outteacuptemperature			125.354
00:00:07:028			outteacuptemperature			124.101
00:00:07:257  		outteacuptemperature			122.86
00:00:07:489   		outteacuptemperature			121.631
00:00:07:725   		outteacuptemperature			120.415
00:00:07:964   		outteacuptemperature			119.211
00:00:08:206   		outteacuptemperature			118.019
00:00:08:452  		outteacuptemperature			116.838
00:00:08:701   		outteacuptemperature			115.67
00:00:08:955			outteacuptemperature			114.513
00:00:09:212  		outteacuptemperature			113.368
00:00:09:473   		outteacuptemperature			112.235
00:00:09:739   		outteacuptemperature			111.112
00:00:10:009   		outteacuptemperature			110.001
00:00:10:284   		outteacuptemperature			108.901
00:00:10:564   		outteacuptemperature			107.812
00:00:10:849   		outteacuptemperature			106.734
00:00:11:140   		outteacuptemperature			105.667
00:00:11:436   		outteacuptemperature			104.61
00:00:11:738   		outteacuptemperature			103.564
00:00:12:047   		outteacuptemperature			102.528
00:00:12:362   		outteacuptemperature			101.503
00:00:12:684   		outteacuptemperature			100.488
00:00:13:014   		outteacuptemperature			99.483
00:00:13:351   		outteacuptemperature			98.4882
00:00:13:697   		outteacuptemperature			97.5033
00:00:14:052			outteacuptemperature			96.5283
00:00:14:415   		outteacuptemperature			95.563
00:00:14:789   		outteacuptemperature			94.6074
00:00:15:174   		outteacuptemperature			93.6613
00:00:15:570			outteacuptemperature			92.7247
00:00:15:978  		outteacuptemperature			91.7974
00:00:16:399   		outteacuptemperature			90.8795
00:00:16:834   		outteacuptemperature			89.9707
00:00:17:285			outteacuptemperature			89.071
00:00:17:752			outteacuptemperature			88.1802
00:00:18:237			outteacuptemperature			87.2984
00:00:18:741   		outteacuptemperature			86.4255
00:00:19:267   		outteacuptemperature			85.5612
00:00:19:817   		outteacuptemperature			84.7056
00:00:20:393   		outteacuptemperature			83.8585
00:00:20:998   		outteacuptemperature			83.02
00:00:21:636   		outteacuptemperature			82.1898
00:00:22:310   		outteacuptemperature			81.3679
00:00:23:026   		outteacuptemperature			80.5542
00:00:23:789   		outteacuptemperature			79.7486
00:00:24:607   		outteacuptemperature			78.9512
00:00:25:489   		outteacuptemperature			78.1616
00:00:26:447   		outteacuptemperature			77.38
00:00:27:496			outteacuptemperature			76.6062
00:00:28:655   		outteacuptemperature			75.8402
00:00:29:954   		outteacuptemperature			75.0818
00:00:31:431   		outteacuptemperature			74.3309
00:00:33:147   		outteacuptemperature			73.5876
00:00:35:199  		outteacuptemperature			72.8518
00:00:37:753   		outteacuptemperature			72.1232
00:00:41:150   		outteacuptemperature			71.402
00:00:46:243   		outteacuptemperature			70.688
00:00:56:518			outteacuptemperature			69.9811
00:19:06:898   		outteacuptemperature			72.0413
00:19:10:427   		outteacuptemperature			71.3209
00:19:15:826   		outteacuptemperature			70.6077
00:19:27:445   		outteacuptemperature			69.9016
00:22:38:494   		outteacuptemperature			71.7813
00:22:42:524   		outteacuptemperature			71.0634
00:22:49:206   		outteacuptemperature			70.3528
00:23:09:147   		outteacuptemperature			69.6493
00:23:29:006   		outteacuptemperature			70.3458
00:23:49:351			outteacuptemperature			69.6423
00:24:08:821   		outteacuptemperature			70.3387
00:24:29:586   		outteacuptemperature			69.6353
00:24:48:682   		outteacuptemperature			70.3317
00:25:09:885   		outteacuptemperature			69.6284
00:25:28:622   		outteacuptemperature			70.3247
00:25:50:283   		outteacuptemperature			69.6214
00:26:08:673   		outteacuptemperature			70.3176
00:26:30:811   		outteacuptemperature			69.6145
00:26:48:867   		outteacuptemperature			70.3106
00:27:11:504   		outteacuptemperature			69.6075
00:27:29:238   		outteacuptemperature			70.3036
00:27:52:397			outteacuptemperature			69.6005
00:28:09:820   		outteacuptemperature			70.2965
00:28:33:525   		outteacuptemperature			69.5936
00:28:50:649   		outteacuptemperature			70.2895
00:29:14:927   		outteacuptemperature			69.5866
00:29:31:761   		outteacuptemperature			70.2825
00:29:56:641   		outteacuptemperature			69.5797
00:30:13:194  		outteacuptemperature			70.2755
