Time,stock,,,,,
1.00,100,,,,,
1.25,124.855887329,,,,,
1.50,154.827163867,,,,,
1.75,190.427541617,,,,,
2.00,231.967142977,,,,,
2.25,279.44051365,,,,,
2.50,332.424474046,,,,,
2.75,390.016995566,,,,,
3.00,450.8488837,,,,,
3.25,513.186447984,,,,,
3.50,575.116469539,,,,,
3.75,634.774947474,,,,,
4.00,690.563643582,,,,,
4.25,741.303408599,,,,,
4.50,786.297738915,,,,,
4.75,825.310371562,,,,,
5.00,858.482719663,,,,,
5.25,886.224178673,,,,,
5.50,909.103238343,,,,,
5.75,927.756565129,,,,,
6.00,942.822679339,,,,,
6.25,954.899523474,,,,,
6.50,964.521500162,,,,,
6.75,972.150531877,,,,,
7.00,978.176185348,,,,,
7.25,982.92099769,,,,,
7.50,986.648297367,,,,,
7.75,989.570785158,,,,,
8.00,991.858861332,,,,,
8.25,993.648175575,,,,,
8.50,995.046186052,,,,,
8.75,996.137695929,,,,,
9.00,996.989432986,,,,,
9.25,997.653782494,,,,,
9.50,998.171797074,,,,,
9.75,998.575603971,,,,,
10.00,998.890318585,,,,,
10.25,999.135558444,,,,,
10.50,999.326636763,,,,,
10.75,999.475500821,,,,,
11.00,999.591468146,,,,,
11.25,999.681803134,,,,,
11.50,999.752168107,,,,,
11.75,999.806975813,,,,,
12.00,999.849664687,,,,,
12.25,999.882913674,,,,,
12.50,999.908809802,,,,,
12.75,999.928978858,,,,,
Final,999.944687255,,,,,
