,t,wagerate
0,0.0,0.8
1,0.0,0.801
2,0.0,0.802
3,0.01,0.803
4,0.01,0.804
5,0.01,0.805
6,0.01,0.806
7,0.01,0.807
8,0.01,0.808
9,0.02,0.809
10,0.02,0.81
11,0.02,0.811
12,0.02,0.812
13,0.02,0.813
14,0.03,0.814
15,0.03,0.815
16,0.03,0.816
17,0.03,0.817
18,0.03,0.818
19,0.04,0.819
20,0.04,0.82
21,0.04,0.821
22,0.04,0.822
23,0.04,0.823
24,0.04,0.824
25,0.05,0.825
26,0.05,0.826
27,0.05,0.827
28,0.05,0.828
29,0.05,0.829
30,0.06,0.83
31,0.06,0.831
32,0.06,0.832
33,0.06,0.833
34,0.06,0.834
35,0.06,0.835
36,0.07,0.836
37,0.07,0.837
38,0.07,0.838
39,0.07,0.839
40,0.07,0.84
41,0.07,0.841
42,0.08,0.842
43,0.08,0.843
44,0.08,0.844
45,0.08,0.845
46,0.08,0.846
47,0.09,0.847
48,0.09,0.848
49,0.09,0.849
50,0.09,0.85
51,0.09,0.851
52,0.09,0.852
53,0.1,0.853
54,0.1,0.854
55,0.1,0.855
56,0.1,0.856
57,0.1,0.857
58,0.1,0.858
59,0.11,0.859
60,0.11,0.86
61,0.11,0.861
62,0.11,0.862
63,0.11,0.863
64,0.12,0.864
65,0.12,0.865
66,0.12,0.866
67,0.12,0.867
68,0.12,0.868
69,0.13,0.869
70,0.13,0.87
71,0.13,0.871
72,0.13,0.872
73,0.13,0.873
74,0.13,0.874
75,0.14,0.875
76,0.14,0.876
77,0.14,0.877
78,0.14,0.878
79,0.14,0.879
80,0.14,0.88
81,0.15,0.881
82,0.15,0.882
83,0.15,0.883
84,0.15,0.884
85,0.15,0.885
86,0.15,0.886
87,0.16,0.887
88,0.16,0.888
89,0.16,0.889
90,0.16,0.89
91,0.16,0.891
92,0.17,0.892
93,0.17,0.893
94,0.17,0.894
95,0.17,0.895
96,0.17,0.896
97,0.17,0.897
98,0.18,0.898
99,0.18,0.899
100,0.18,0.9
101,0.18,0.901
102,0.18,0.902
103,0.19,0.903
104,0.19,0.904
105,0.19,0.905
106,0.19,0.906
107,0.19,0.907
108,0.2,0.908
109,0.2,0.909
110,0.2,0.91
111,0.2,0.911
112,0.2,0.912
113,0.2,0.913
114,0.21,0.914
115,0.21,0.915
116,0.21,0.916
117,0.21,0.917
118,0.21,0.918
119,0.22,0.919
120,0.22,0.92
121,0.22,0.921
122,0.22,0.922
123,0.22,0.923
124,0.23,0.924
125,0.23,0.925
126,0.23,0.926
127,0.23,0.927
128,0.23,0.928
129,0.23,0.929
